Match_addr,X,Y,School_Nam,ESD,SD,County,School_Typ,School_T_1,ODE_Instit,Address,City_1,State,Site_Zipco,Site_Zip_1,Mail_Addre,Mail_City,Mail_State,Mail_Zipco,Mail_Zip_1,Phone_1,Phone_Fax,Email,Website,Participation2017,Participation2018,2017 Provider,Provider2018,2017 Grade,Grade 2018,2017 Students,Sudents 2018,2017 Days,Days 2018,Nights 2017,Nights 2018,2017 Actual Funds Per Student,2018 Actual Funds Per Student,2017 Total Funds,2018 Total Funds,Senate Districts,House Districts
"16950 SW Lisa Ct, Beaverton, Oregon, 97006",-122.8512191,45.5164825,Elmonica Elementary School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,1162,16950 SW Lisa Ct,Beaverton,OR,97006,4100,16950 SW Lisa Ct,Beaverton,OR,97006,4100,503-356-2080,503-533-1818,cynthia_lam_moffett@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/elmonica/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 17,State House District 34
"1600 NW 173rd Ave, Beaverton, Oregon, 97006",-122.8546843,45.53035979,Five Oaks Middle School,Northwest Regional,Beaverton SD 48J,Washington,Middle,Supplemental Virtual,1181,1600 NW 173rd Ave,Beaverton,OR,97006,4856,1600 NW 173rd Ave,Beaverton,OR,97006,4856,503-356-2600,503-533-1898,shirley_brock@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/five-oaks/,1,Yes,Cedar Ridge�Outdoor School, ,6th,6th,264,273,3,4,2,3,238.98,239.26,63090.72,65317.98,State Senate District 17,State House District 34
"3500 SW 104th Ave, Beaverton, Oregon, 97005",-122.7840585,45.494185,Hope Chinese Charter School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Charter,4867,3500 SW 104th Ave,Beaverton,OR,97005,0,3500 SW 104th Ave,Portland,OR,97291,0,503-356-2420,<Null>,julie.rickman@hopeccs.org,http://www.beaverton.k12.or.us/schools/kinnaman/,1,Yes,YMCA Camp Collins, ,6th,6th,18,25,4,4,3,3,214.45,223.32,3860.1,5583,State Senate District 17,State House District 34
"21200 NW Rock Creek Blvd, Portland, Oregon, 97229",-122.8931556,45.55772008,Lenox Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,Elementary,Regular School,1110,21200 NW Rock Creek Blvd,Portland,OR,97229,1042,21200 NW Rock Creek Blvd,Portland,OR,97229,1042,503-844-1360,503-356-6289,matsuoj@hsd.k12.or.us,http://www.hsd.k12.or.us/lenox/,1,Yes,Cedar Ridge Retreat Center, ,6th,6th,60,59,3,3,2,2,172.65,174.75,10359,10310.25,State Senate District 17,State House District 34
"1500 NW 185th Ave, Beaverton, Oregon, 97006",-122.8674525,45.53025699,McKinley Elementary School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,1169,1500 NW 185th Ave,Beaverton,OR,97006,1909,1500 NW 185th Ave,Beaverton,OR,97006,1909,503-356-2180,503-533-1848,ann_pleau@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/mckinley,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 17,State House District 34
"14100 SW Downing St, Beaverton, Oregon, 97006",-122.823994,45.514864,Meadow Park Middle School,Northwest Regional,Beaverton SD 48J,Washington,Middle,Regular School,1182,14100 SW Downing St,Beaverton,OR,97006,5800,14100 SW Downing St,Beaverton,OR,97006,5800,503-356-2640,503-672-3664,jared_freeman@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/meadow-park/,1,Yes,"Cedar Ridge, Trickle Creek", ,6th,6th,205,269,3,4,2,3,229.77,502.66,47102.85,135215.54,State Senate District 17,State House District 34
"10100 SW Inglewood St, Portland, Oregon, 97225",-122.780176,45.50262001,Ridgewood Elementary School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,1174,10100 SW Inglewood St,Portland,OR,97225,5034,10100 SW Inglewood St,Portland,OR,97225,5034,503-356-2440,503-259-7538,cary_meier@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/ridgewood/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 17,State House District 34
"4125 NW 185th Ave, Portland, Oregon, 97229",-122.8675507,45.54917968,Rock Creek Elementary School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,1175,4125 NW 185th Ave,Portland,OR,97229,3006,4125 NW 185th Ave,Portland,OR,97229,3006,503-356-2450,503-533-1878,jared_cordon@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/rock-creek/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 17,State House District 34
"8111 SW West Slope Dr, Portland, Oregon, 97225",-122.760621,45.50428302,West Sylvan Middle School,Multnomah,Portland SD 1J,Multnomah,Middle,Regular School,898,8111 SW West Slope Dr,Portland,OR,97225,3831,8111 SW West Slope Dr,Portland,OR,97225,3831,503-916-5690,503-916-2681,jferraro@pps.net,http://www.pps.k12.or.us/schools/east-west-sylvan,1,Yes,"Angelos/SR, Arrah Wanna, Canby Grove, Howard, Namanu", ,6th,6th,256,270,6,6,5,5,416.04,556.28,106506.24,150195.6,State Senate District 17,State House District 34
"8800 SW Leahy Rd, Portland, Oregon, 97225",-122.7663993,45.51569448,West Tualatin View Elementary School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,1178,8800 SW Leahy Rd,Portland,OR,97225,6400,8800 SW Leahy Rd,Portland,OR,97225,6400,503-356-2510,503-259-7833,Kalay_mcnamee@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/west-tv/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 17,State House District 34
"11940 SW Lynnfield Ln, Portland, Oregon, 97225",-122.7998078,45.50222367,William Walker Elementary School,Northwest Regional,Beaverton SD 48J,Washington,Elementary,Regular School,1179,11940 SW Lynnfield Ln,Portland,OR,97225,4555,11940 SW Lynnfield Ln,Portland,OR,97225,4555,503-356-2520,503-672-3608,joann_hulquist@beaverton.k12.or.us,http://www.beaverton.k12.or.us/schools/william-walker/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 17,State House District 34
"63020 O B Riley Rd, Bend, Oregon, 97703",-121.3088025,44.08789565,Bend International School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,Elementary,Charter,5309,63020 OB Riley Road,Bend,OR,97703,0,63020 OB Riley Road,Bend,OR,97703,0,541-797-7038,541-355-1410,meera@bendinternationalschool.org,http://www.bendinternationalschool.org,1,Yes,undecided/ researching,Camp Tamarack,5th,5th,19,23,3,3,2,2,186,180,3534,4140,State Senate District 27,State House District 53
"62560 Hamby Rd, Bend, Oregon, 97701",-121.2435837,44.07234119,Buckingham Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,Elementary,Regular School,250,62560 Hamby Rd,Bend,OR,97701,9529,62560 Hamby Rd,Bend,OR,97701,9529,541-355-2600,541-355-2610,sunshine.dandurand@bend.k12.or.us,http://www.bend.k12.or.us/BUCKINGHAM,1,Yes,Camp Tamarack,Camp Tamarack,5th,5th,88,78,3,3,2,2,183.17,191.21,16118.96,14914.38,State Senate District 27,State House District 53
"150 NE Bend River Mall Dr, Bend, Oregon, 97703",-121.3025938,44.08380982,Desert Sky Montessori,High Desert,Bend-LaPine Administrative SD 1,Deschutes,Elementary,Charter,5384,150 NE Bend River Mall Dr  Suite 260,Bend,OR,97703,7557,150 NE Bend River Mall Dr  Suite 260,Bend,OR,97703,7557,541-350-2090,541-320-9032,info@dsmontessori.org,https://dsmontessori.org/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 27,State House District 53
"1220 NW Upas Ave, Redmond, Oregon, 97756",-121.1796471,44.30529431,Elton Gregory Middle School,High Desert,Redmond SD 2J,Deschutes,Middle,Supplemental Virtual,1326,1220 NW Upas Ave,Redmond,OR,97756,0,1220 NW Upas Ave,Redmond,OR,97756,0,541-526-6440,541-526-6441,tracie.renwick@redmondschools.org,http://egms.redmond.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 27,State House District 53
"61000 SE Diamondback Ln, Bend, Oregon, 97702",-121.26315,44.01517753,High Desert Middle School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,Middle,Supplemental Virtual,1309,61000 Diamondback Ln,Bend,OR,97702,0,61000 Diamondback Ln,Bend,OR,97702,0,541-355-7200,541-355-7210,brian.morancrook@bend.k12.or.us,http://www.bend.k12.or.us/HDMS,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 27,State House District 53
"209 NW 10th St, Redmond, Oregon, 97756",-121.1785984,44.27832,John Tuck Elementary School,High Desert,Redmond SD 2J,Deschutes,Elementary,Supplemental Virtual,258,209 NW 10th St,Redmond,OR,97756,1741,209 NW 10th St,Redmond,OR,97756,1741,541-923-4884,541-923-4884,dusty.porter@redmondschools.org,http://tuck.redmond.k12.or.us,1,Yes,"Sisters, Oregon", ,5th,5th,75,69,3,3,2,2,181.02,226.05,13576.5,15597.45,State Senate District 27,State House District 53
"20805 Cooley Rd, Bend, Oregon, 97701",-121.2833045,44.10914281,Lava Ridge Elementary School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,Elementary,Regular School,1317,20805 Cooley Rd,Bend,OR,97701,8076,20805 Cooley Rd,Bend,OR,97701,8076,541-355-2400,541-355-2410,gary.defrang@bend.k12.or.us,http://www.bend.k12.or.us/LRES,1,Yes,Camp Tamarack, ,5th,5th,95,89,3,3,2,2,182.81,189.69,17366.95,16882.41,State Senate District 27,State House District 53
"1314 SW Kalama Ave, Redmond, Oregon, 97756",-121.1824,44.26660252,M A Lynch Elementary School,High Desert,Redmond SD 2J,Deschutes,Elementary,Supplemental Virtual,259,1314 SW Kalama Ave,Redmond,OR,97756,3054,1314 SW Kalama Ave,Redmond,OR,97756,3054,541-923-4876,541-923-4875,rayna.nordstrom@redmondschools.org,http://lynch.redmond.k12.or.us,1,Yes,Camp Tamarack, ,5th,5th,60,60,3,3,2,2,180.63,203.57,10837.8,12214.2,State Senate District 27,State House District 53
"1335 SW Obsidian Ave, Redmond, Oregon, 97756",-121.18219,44.26217746,Obsidian Middle School,High Desert,Redmond SD 2J,Deschutes,Middle,Supplemental Virtual,262,1335 SW Obsidian Ave,Redmond,OR,97756,3299,1335 SW Obsidian Ave,Redmond,OR,97756,3299,541-923-4900,541-923-6509,tami.nakamura@redmondschools.org,http://oms.redmond.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 27,State House District 53
"63175 O B Riley Rd, Bend, Oregon, 97703",-121.3121264,44.09408007,REALMS (Rimrock Expeditionary Alternative Learning Middle School),High Desert,Bend-LaPine Administrative SD 1,Deschutes,Middle,Supplemental Virtual,3448,63175 O B Riley,Bend,OR,97701,0,63175 O B Riley,Bend,OR,97701,0,541-322-5323,541-322-5473,rwhite@realmschool.org,http://www.realmschool.org,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 27,State House District 53
"2105 W Antler Ave, Redmond, Oregon, 97756",-121.1919002,44.27648747,Redmond Early Learning Center at Hugh Hartman,High Desert,Redmond SD 2J,Deschutes,Elementary,Charter,5340,2105 W Antler Ave,Redmond,OR,97756,0,657 SW Glacier,Redmond,OR,97756,0,541-923-8900,<Null>,Jodi.greener@redmondschools.org,http://www.redmond.k12.or.us/about/early-learning-center/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 27,State House District 53
"150 SW 25th St, Redmond, Oregon, 97756",-121.1966926,44.27582895,Redmond Proficiency Academy Middle School,High Desert,Redmond SD 2J,Deschutes,Middle,Charter,4729,150 SW 25th St,Redmond,OR,0,0, , , ,0,0, , , , , ,Yes, , , ,5th,0,53,0,4,0,3,0,279.4,0,14808.2,State Senate District 27,State House District 53
"2790 SW Wickiup Ave, Redmond, Oregon, 97756",-121.2011801,44.24747246,Sage Elementary School,High Desert,Redmond SD 2J,Deschutes,Elementary,Supplemental Virtual,256,2790 SW Wickiup,Redmond,OR,97756,0,2790 SW Wickiup,Redmond,OR,97756,0,541-923-4865,541-316-2831,carolyn.espinosa@redmondschools.org,http://sage.redmond.k12.or.us,1,Yes,Camp Tamarack, ,5th,5th,98,88,3,3,2,2,180.83,201.5,17721.34,17732,State Senate District 27,State House District 53
"63555 NE 18th St, Bend, Oregon, 97701",-121.2789682,44.10666018,Sky View Middle School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,Middle,Supplemental Virtual,3217,63555 NE 18th St,Bend,OR,97701,8352,63555 NE 18th St,Bend,OR,97701,8352,541-355-7600,541-355-7610,scott.olzewski@bend.k12.or.us,http://www.bend.k12.or.us/SVMS,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 27,State House District 53
"56900 Enterprise Dr, Bend, Oregon, 97707",-121.434155,43.86711724,Three Rivers K-8 School,High Desert,Bend-LaPine Administrative SD 1,Deschutes,Elementary,Supplemental Virtual,1266,56900 Enterprise Dr,Sunriver,OR,97707,2121,56900 Enterprise Dr,Sunriver,OR,97707,2121,541-355-3000,541-355-3010,tim.broadbent@bend.k12.or.us,http://www.bend.k12.or.us/THREERIVERS,1,Yes,Camp Tamarack, ,5th,5th,56,39,3,3,2,2,184.31,195.38,10321.36,7619.82,State Senate District 27,State House District 53
"1200 NW Upas Ave, Redmond, Oregon, 97756",-121.1809602,44.30535248,Tom McCall Elementary School,High Desert,Redmond SD 2J,Deschutes,Elementary,Supplemental Virtual,4429,1200 NW Upas Ave,Redmond,OR,97756,0,1200 NW Upas Ave,Redmond,OR,97756,0,541-526-6400,541-526-6401,drew.frank@redmondschools.org,http://mccall.redmond.k12.or.us,1,Yes,"Sisters, Oregon", ,5th,5th,82,96,3,3,2,2,180.97,209.12,14839.54,20075.52,State Senate District 27,State House District 53
"19835 2nd St, Bend, Oregon, 97703",-121.3327797,44.15167255,Tumalo Community School,High Desert,Redmond SD 2J,Deschutes,Elementary,Supplemental Virtual,261,19835 2nd St,Bend,OR,97701,9099,19835 2nd St,Bend,OR,97701,9099,541-382-2853,541-389-4197,justin.nicklous@redmondschools.org,http://tumalo.redmond.k12.or.us,1,Yes,Camp Tamarack, ,5th,5th,51,40,3,3,2,2,180.7,197.45,9215.7,7898,State Senate District 27,State House District 53
"3001 SW Obsidian Ave, Redmond, Oregon, 97756",-121.2029797,44.26193749,Vern Patrick Elementary School,High Desert,Redmond SD 2J,Deschutes,Elementary,Supplemental Virtual,1325,3001 SW Obsidian,Redmond,OR,97756,7884,3001 SW Obsidian,Redmond,OR,97756,7884,541-923-4830,541-923-4833,jennifer.hesse@redmondschools.org,http://patrick.redmond.k12.or.us,1,Yes,"Sisters, Oregon", ,5th,5th,85,70,3,3,2,2,180.9,181.7,15376.5,12719,State Senate District 27,State House District 53
"2421 SE Orange Ave, Portland, Oregon, 97214",-122.6511871,45.50557283,Abernethy Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,822,2421 SE Orange Ave,Portland,OR,97214,0,2421 SE Orange Ave,Portland,OR,97214,0,503-916-6190,503-916-2600,hhull@pps.net,http://www.pps.k12.or.us/schools/abernethy,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 21,State House District 42
"320 SE 16th Ave, Portland, Oregon, 97214",-122.648922,45.52040699,Buckman Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,837,320 SE 16th Ave,Portland,OR,97214,1484,320 SE 16th Ave,Portland,OR,97214,1484,503-916-6230,503-916-2615,skosmala@pps.net,http://www.pps.k12.or.us/schools/buckman,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 21,State House District 42
"4701 SE Bush St, Portland, Oregon, 97206",-122.613627,45.495054,Creston K-8 School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,843,4701 SE Bush St,Portland,OR,97206,3299,4701 SE Bush St,Portland,OR,97206,3299,503-916-6340,503-916-2621,fhurdle@pps.net,http://www.pps.k12.or.us/schools/creston,1,Yes,Canby Grove, ,6th,6th,39,20,6,6,5,5,486.04,556.28,18955.56,11125.6,State Senate District 21,State House District 42
"2508 NE Everett St, Portland, Oregon, 97232",-122.639738,45.52494252,da Vinci Arts Middle School,Multnomah,Portland SD 1J,Multnomah,Middle,Regular School,1363,2508 NE Everett,Portland,OR,97232,0,2508 NE Everett,Portland,OR,97232,0,503-916-5356,503-916-2721,fwlocke@pps.net,http://www.pps.k12.or.us/schools/davinci,1,Yes,"Angelos/SR, Arrah Wanna, Canby Grove, Howard, Namanu", ,6th,6th,145,145,6,3,5,2,486.04,556.28,70475.8,80660.6,State Senate District 21,State House District 42
"3119 SE Holgate Blvd, Portland, Oregon, 97202",-122.633318,45.49145401,Grout Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,854,3119 SE Holgate Blvd,Portland,OR,97202,3498,3119 SE Holgate Blvd,Portland,OR,97202,3498,503-916-6209,503-916-2632,atabshy@pps.net,http://www.pps.k12.or.us/schools/grout,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 21,State House District 42
"2303 SE 28th Pl, Portland, Oregon, 97214",-122.63674,45.50634224,Hosford Middle School,Multnomah,Portland SD 1J,Multnomah,Middle,Regular School,858,2303 SE 28th Pl,Portland,OR,97214,5698,2303 SE 28th Pl,Portland,OR,97214,5698,503-916-5640,503-916-2637,kwestphal@pps.net,http://www.pps.k12.or.us/schools/hosford,1,Yes,"Angelos/SR, Arrah Wanna, Canby Grove, Howard, Namanu", ,6th,6th,181,205,6,6,5,5,486.04,556.28,87973.24,114037.4,State Senate District 21,State House District 42
"2044 E Burnside St, Portland, Oregon, 97214",-122.6446262,45.52280431,Le Monde French Immersion Public Charter School,Multnomah,Portland SD 1J,Multnomah,Elementary,Charter,5060,2044 E Burnside,Portland,OR,97214,0,2044 E Burnside,Portland,OR,97205,0,503-208-3198,503-548-2190,chantal@lemondeimmersion.org,http://www.lemondeimmersion.org,0,Yes, , , ,6th,0,16,0,4,0,3,0,442.5,0,7080,State Senate District 21,State House District 42
"2276 SE 41st Ave, Portland, Oregon, 97214",-122.6202966,45.50643922,Richmond Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,883,2276 SE 41st Ave,Portland,OR,97214,0,2276 SE 41st Ave,Portland,OR,97214,0,503-916-6220,503-916-2665,bpruitt@pps.net,http://www.pps.k12.or.us/schools/richmond,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 21,State House District 42
"3421 SE Salmon St, Portland, Oregon, 97214",-122.628888,45.5143475,Sunnyside Environmental K-8 School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,893,3421 SE Salmon St,Portland,OR,97214,4299,3421 SE Salmon St,Portland,OR,97214,4299,503-916-6226,503-916-2676,akleiner@pps.net,http://www.pps.k12.or.us/schools/sunnyside,1,Yes,"Angelos/SR, Canby Grove, Namanu", ,6th,6th,75,57,6,6,5,5,416.04,556.28,31203,31707.96,State Senate District 21,State House District 42
"3830 SE 14th Ave, Portland, Oregon, 97202",-122.6513489,45.49492295,Winterhaven School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,1364,3830 SE 14th Ave,Portland,OR,97202,0,3830 SE 14th Ave,Portland,OR,97202,0,503-916-6200,503-916-2614,msandila@pps.net,http://www.pps.k12.or.us/schools/winterhaven,1,Yes,"Arrah Wanna, Howard", ,6th,6th,61,47,6,6,5,5,486.04,556.28,29648.44,26145.16,State Senate District 21,State House District 42
"5601 SE 50th Ave, Portland, Oregon, 97206",-122.6113975,45.48202802,Woodstock Elementary School,Multnomah,Portland SD 1J,Multnomah,Elementary,Regular School,904,5601 SE 50th Ave,Portland,OR,97206,5679,5601 SE 50th Ave,Portland,OR,97206,5679,503-916-6380,503-916-2688,sjohnson5@pps.net,http://www.pps.k12.or.us/schools/woodstock,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 21,State House District 42
"16155 SW Sunset Blvd, Sherwood, Oregon, 97140",-122.843513,45.34977751,Archer Glen Elementary School,Northwest Regional,Sherwood SD 88J,Washington,Elementary,Regular School,1334,16155 SW Sunset Blvd,Sherwood,OR,97140,8202,16155 SW Sunset Blvd,Sherwood,OR,97140,8202,503-825-5100,503-825-5101,jwollmuth@sherwood.k12.or.us,http://ag.sherwood.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"6700 SW Wilsonville Rd, Wilsonville, Oregon, 97070",-122.745372,45.309062,Boeckman Creek Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,Elementary,Regular School,1272,6700 SW Wilsonville Rd,Wilsonville,OR,97070,0,6700 SW Wilsonville Rd,Wilsonville,OR,97070,622,503-673-7750,503-682-0738,sproull@wlwv.k12.or.us,http://www.bcps.wlwv.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"11495 SW Wilsonville Rd, Wilsonville, Oregon, 97070",-122.795,45.30036301,Boones Ferry Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,Elementary,Regular School,3913,11495 SW Wilsonville Rd,Wilsonville,OR,97070,7746,11495 Wilsonville Rd,Wilsonville,OR,97070,130,503-673-7300,503-682-8761,pattersj@wlwv.k12.or.us,http://www.bfps.wlwv.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"16155 SW 131st Ave, Portland, Oregon, 97224",-122.8120296,45.40257818,Deer Creek Elementary School,Northwest Regional,Tigard-Tualatin SD 23J,Washington,Elementary,Regular School,1369,16155 SW 131st Ave,Tigard,OR,97224,2129,16155 SW 131st Ave,Tigard,OR,97224,2129,503-431-4450,503-431-4460,twiencken@ttsd.k12.or.us,http://deercreek.ttsdschools.org/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"21472 SW Copper Ter, Sherwood, Oregon, 97140",-122.8650725,45.36402,Edy Ridge Elementary School,Northwest Regional,Sherwood SD 88J,Washington,Elementary,Regular School,4730,21472 SW Copper Terrace,Sherwood,OR,97140,0,21472 SW Copper Terrace,Sherwood,OR,97140,0,503-825-5700,503-825-5701,ahollenberg@sherwood.k12.or.us,http://www.sherwood.k12.or.us/schools/edy-ridge,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"21920 SW Sherwood Blvd, Sherwood, Oregon, 97140",-122.8435085,45.36103269,J Clyde Hopkins Elementary School,Northwest Regional,Sherwood SD 88J,Washington,Elementary,Regular School,1191,21920 SW Sherwood Blvd,Sherwood,OR,97140,9324,21920 SW Sherwood Blvd,Sherwood,OR,97140,9324,503-825-5200,503-825-5201,tasmith@sherwood.k12.or.us,http://hop.sherwood.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"2425 SW Cornelius Pass Rd, Hillsboro, Oregon, 97123",-122.9022028,45.50224277,Ladd Acres Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,Elementary,Regular School,1150,2425 SW Cornelius Pass Rd,Hillsboro,OR,97123,6736,2425 SW Cornelius Pass Rd,Hillsboro,OR,97123,6736,503-844-1300,503-649-4321,sinapif@hsd.k12.or.us,http://schools.hsd.k12.or.us/laddacres/Home/tabid/970/Default.aspx,1,Yes,Magruder Science School, ,6th,6th,52,91,3,3,2,2,182.01,179.87,9464.52,16368.17,State Senate District 13,State House District 26
"21416 SW Copper Ter, Sherwood, Oregon, 97140",-122.8648158,45.36561713,Laurel Ridge Middle School,Northwest Regional,Sherwood SD 88J,Washington,Middle,Regular School,4731,21416 SW Copper Terrace,Sherwood,OR,97140,0,21416 SW Copper Terrace,Sherwood,OR,97140,0,503-825-5800,503-825-5801,psalm@sherwood.k12.or.us,http://lrms.sherwood.k12.or.us,1,Yes,Magruder Outdoor School, ,6th,6th,155,179,4,4,3,3,264.22,263.75,40954.1,47211.25,State Senate District 13,State House District 26
"28995 SW Brown Rd, Wilsonville, Oregon, 97070",-122.7868504,45.31016258,Lowrie Primary School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,Elementary,Regular School,5056,28995 SW Brown Rd,Wilsonville,OR,97070,0,28995 SW Brown Rd,Wilsonville,OR,97070,0,503-673-7700,503-570-2621,meigsp@wlwv.k12.or.us,http://www.lps.wlwv.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"6300 SW Hazel St, Wilsonville, Oregon, 97070",-122.74149,45.31507601,Meridian Creek Middle School,Clackamas,West Linn-Wilsonville SD 3J,Clackamas,Middle,Regular School,0,6300 SW Hazel St,Wilsonville,OR,0,6868,6300 SW Hazel St,Wilsonville,OR,97070,6868,503-673-7450,<Null>,<Null>,https://www.wlwv.k12.or.us/Domain/2483,1,Yes,Camp Magruder, ,6th,6th,121,140,4,4,3,3,208.05,423.11,25174.05,59235.4,State Senate District 13,State House District 26
"23505 SW Old Highway 99W, Sherwood, Oregon, 97140",-122.8678877,45.34952843,Middleton Elementary School,Northwest Regional,Sherwood SD 88J,Washington,Elementary,Regular School,3222,23505 SW Old Hwy 99W,Sherwood,OR,97140,8640,23505 SW Old Hwy 99W,Sherwood,OR,97140,8640,503-825-5300,503-825-5301,jpatterson@sherwood.k12.or.us,http://me.sherwood.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 13,State House District 26
"2695 SW 209th Ave, Beaverton, Oregon, 97003",-122.894108,45.49988902,Reedville Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,Elementary,Regular School,1149,2695 SW 209th Ave,Aloha,OR,97006,1736,2695 SW 209th Ave,Aloha,OR,97006,1736,503-844-1570,503-591-5874,farupror@hsd.k12.or.us,http://schools.hsd.k12.or.us/reedville/Home/tabid/729/Default.aspx,1,Yes,Magruder Science School, ,6th,6th,32,36,3,3,2,2,197.8,208.72,6329.6,7513.92,State Senate District 13,State House District 26
"3901 SE 67th Ave, Beaverton, Oregon, 97078",-122.914114,45.49134999,Rosedale Elementary School,Northwest Regional,Hillsboro SD 1J,Washington,Elementary,Regular School,4703,3901 SE 67th Ave,Beaverton,OR,97078,0,3901 SE 67th Ave,Hillsboro,OR,97007,0,503-844-1200,503-844-1201,strandem@hsd.k12.or.us,http://schools.hsd.k12.or.us/rosedale/Home/tabid/1252/Default.aspx,1,Yes,Trickle Creek Science School, ,6th,6th,60,64,3,3,2,2,193.41,184.17,11604.6,11786.88,State Senate District 13,State House District 26
"23264 SW Main St, Sherwood, Oregon, 97140",-122.8414446,45.35118567,Sherwood Charter School,Northwest Regional,Sherwood SD 88J,Washington,Elementary,Charter,4220,23264 SW Main St,Sherwood,OR,97140,0,PO Box 1342,Sherwood,OR,97140,0,503-925-8007,503-925-8172,jraboli@sherwoodcharterschool.org,http://sherwoodcharterschool.org,1,Yes,Magruder Outdoor School, ,5th,5th,23,24,4,4,3,3,288.17,263.43,6627.91,6322.32,State Senate District 13,State House District 26
"21970 SW Sherwood Blvd, Sherwood, Oregon, 97140",-122.841374,45.35893101,Sherwood Middle School,Northwest Regional,Sherwood SD 88J,Washington,Middle,Regular School,1192,21970 SW Sherwood Blvd,Sherwood,OR,97140,9324,21970 SW Sherwood Blvd,Sherwood,OR,97140,9324,503-825-5400,503-825-5401,mfunderhide@sherwood.k12.or.us/,http://sms.sherwood.k12.or.us,1,Yes,Trickle Creek/ Cedar Ridge, ,6th,6th,215,233,4,4,3,3,207.25,227.37,44558.75,52977.21,State Senate District 13,State House District 26
